,Financial Year,2014-2015,,,,,,2015-2016,,,,,,,,
Shepparton - Mooroopna,Code 1,80.84%,742,814,90.69%,628,763,88.67%,643,900,87.72%,650,871,89.24%,645,846
Sunbury,Code 1,79.29%,743,425,76.66%,774,497,66.91%,879,544,68.51%,867,524,78.01%,788,473
Swan Hill,Code 1,84.35%,669,147,91.06%,572,179,89.69%,571,194,91.53%,591,189,87.72%,678,171
Torquay - Jan Juc,Code 1,56.36%,937,165,64.63%,850,164,58.90%,908,146,63.58%,887,173,54.89%,941,184
Traralgon,Code 1,65.11%,883,450,68.58%,833,487,64.00%,881,500,63.69%,875,504,63.68%,878,468
Wallan,Code 1,25.81%,1177,93,20.39%,1172,103,73.08%,803,104,74.78%,780,115,79.13%,698,115
Wangaratta,Code 1,86.81%,664,273,93.31%,584,299,89.37%,631,348,89.24%,612,316,89.42%,657,312
Warragul,Code 1,71.49%,873,228,71.88%,859,256,68.02%,943,247,77.25%,777,211,83.04%,728,230
Warrnambool,Code 1,90.50%,584,400,90.91%,611,396,90.51%,612,432,90.98%,609,410,90.23%,623,430
Total UCL > 7500,Code 1,80.85%,720,65352,81.96%,708,66958,79.53%,736,73553,81.01%,721,70453,81.34%,718,68640
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Financial Year,,2014-2015,,,,,,2015-2016,,,,,,,
,Quarter,,Qtr 3 Jan-Mar 2015,,,Qtr 4 Apr-Jun 2015,,,Qtr 1 Jul-Sep 2015,,,Qtr 2 Oct-Dec 2015,,,Qtr 3 Jan-Mar 2016,
UCL Name,Final Dispatch Code,,AVG RT - Seconds,Total Number,,AVG RT - Seconds,Total Number,,AVG RT - Seconds,Total Number,,AVG RT - Seconds,Total Number,,AVG RT - Seconds,Total Number
Albury - Wodonga (Wodonga Part),Code 2,,1488,272,,1721,253,,1644,313,,1789,314,,1478,322
Bacchus Marsh,Code 2,,1485,144,,1737,136,,1709,139,,1709,158,,1469,154
Bairnsdale,Code 2,,1984,147,,1846,179,,2260,187,,2189,217,,1877,215
Ballarat,Code 2,,1236,746,,1313,716,,1279,736,,1354,777,,1225,760
Benalla,Code 2,,1503,131,,1531,121,,1396,133,,1439,154,,1736,141
Bendigo,Code 2,,1684,695,,1525,730,,1770,815,,1620,756,,1619,745
Castlemaine,Code 2,,1831,126,,1893,114,,1861,118,,1694,143,,1592,120
Colac,Code 2,,1703,118,,1823,128,,2085,126,,1685,120,,2077,137
Drouin,Code 2,,1931,78,,2041,84,,1820,81,,2083,98,,1664,93
Drysdale - Clifton Springs,Code 2,,1934,91,,1882,73,,1563,73,,1632,86,,1744,74
Echuca - Moama (Echuca Part),Code 2,,1984,199,,1931,164,,1843,198,,1815,204,,1701,191
Geelong,Code 2,,1493,1312,,1413,1439,,1565,1419,,1624,1434,,1634,1332
Gisborne,Code 2,,1436,60,,1154,76,,1337,61,,1456,85,,1572,82
Hamilton,Code 2,,1490,92,,1513,84,,1332,107,,1351,104,,1239,94
Healesville,Code 2,,1681,91,,1845,89,,1693,102,,1736,102,,1815,99
Horsham,Code 2,,1392,209,,1427,177,,1521,192,,1325,208,,1258,230
Lara,Code 2,,1588,57,,1342,64,,1883,61,,1705,69,,1350,70
Leopold,Code 2,,1558,51,,1734,47,,1474,53,,1190,60,,1545,62
Melbourne,Code 2,,1696,28364,,1679,28626,,1897,28868,,1747,29470,,1675,29500
Melton,Code 2,,1470,453,,1604,483,,1707,493,,1605,504,,1518,534
Mildura - Buronga (Mildura Part),Code 2,,1286,390,,1509,371,,1507,414,,1427,429,,1510,426
Moe - Newborough,Code 2,,1914,236,,1951,201,,1748,230,,1877,243,,1853,211
Morwell,Code 2,,1896,243,,2073,226,,1670,215,,1883,249,,1687,234
Ocean Grove - Barwon Heads,Code 2,,1522,97,,1480,90,,1472,96,,1388,129,,1457,104
Pakenham,Code 2,,1286,311,,1422,310,,1467,331,,1342,372,,1291,289
Portland (Vic.),Code 2,,1679,98,,1575,112,,1380,124,,1657,133,,1634,109
Sale,Code 2,,1540,155,,1438,125,,1467,118,,1499,149,,1439,142
Shepparton - Mooroopna,Code 2,,1576,479,,1460,492,,1389,471,,1467,545,,1382,568
Sunbury,Code 2,,1453,275,,1526,278,,1598,303,,1658,302,,1446,292
Swan Hill,Code 2,,1124,102,,1609,124,,1468,126,,1751,142,,1642,126
Torquay - Jan Juc,Code 2,,1427,73,,1607,84,,1636,73,,1481,96,,1710,79
Traralgon,Code 2,,1881,240,,2053,262,,2128,293,,2160,298,,1989,325
Wallan,Code 2,,1725,49,,1552,54,,1187,49,,1243,70,,1274,44
Wangaratta,Code 2,,1674,185,,1887,213,,1454,204,,1725,241,,1525,232
Warragul,Code 2,,1842,143,,1995,166,,2181,159,,2083,169,,1921,185
Warrnambool,Code 2,,1338,278,,1525,283,,1562,281,,1509,335,,1723,254
Total UCL > 7500,Code 2,,1662,36790,,1657,37174,,1830,37762,,1716,38965,,1649,38575
